Year,Month,BrCode,BrName,Zone,PrCode,PrName,Qty,SaleAmount (ExVat)
2022,11,1047,LASALLE,City,0253351,KOON แป้งวาราบิโมจิ 200G,3.,221.52
2022,11,1048,LITTLE WALK,Residential,0253351,KOON แป้งวาราบิโมจิ 200G,10.,738.37
2022,11,1049,LUNGSUAN,City,0253351,KOON แป้งวาราบิโมจิ 200G,2.,147.68
2022,12,1000,SUKHUMVIT 33,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1006,PLOENCHIT,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1011,THONGLOR,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1015,PATTAYA,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1021,PHUKET,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1023,PARADISE,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1030,K-VILLAGE,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1033,PESEO-RAM,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1036,RAMA3,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1038,PESEO KAN,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1039,BOAT LAGOON,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,1.,242.06
2022,12,1042,UD TOWN UDON,Provincial,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1044,BANGNA,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1047,LASALLE,City,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,2.,484.12
2022,12,1048,LITTLE WALK,Residential,0253348,KOON แป้งไดฟูกุสำเร็จรูป 800G,3.,726.18
